case,bug,test,seed,source_run_dir,primary_type,uvm_level,fatal_file,fatal_line,fatal_time,fatal_message,mismatch_type,has_dual_compare,has_simplified_ibex,ibex_index,spike_index,ibex_pc,spike_pc,ibex_opcode,spike_opcode,op_pair,matched_count,mismatch_count,pc_region,sim_line_count,regr_line_count,trace_line_count,sim_template_hash,regr_template_hash,trace_hash
21,bug_128,riscv_machine_mode_rand_test,23022,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,134,134,8000037e,80000366,csrrs,srai,csrrs|srai,121,4421,8000,70,6,3246,bb2565857ea2f1ce,00540128ddef39d4,f69c6afcf3047e04
22,bug_128,riscv_machine_mode_rand_test,23023,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,78,78,8000024c,8000028e,c.srai,srl,c.srai|srl,85,4019,8000,70,6,7254,78366884a78a9351,fb0413e5ed41c104,28735a8571d0f479
23,bug_128,riscv_machine_mode_rand_test,23024,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,66,66,8000017c,800001d4,slt,mulhsu,slt|mulhsu,55,4,8000,70,6,304,fcf8a6f7bf6c089a,ae7c097a5470f4f7,ceac5dbc036a1cb8
24,bug_128,riscv_machine_mode_rand_test,23025,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,137,137,800002cc,800002dc,slti,csrrs,slti|csrrs,137,4896,8000,70,6,7790,209f8bbe20eab851,82cb39f133335f6e,8516dc40ac70510c
25,bug_128,riscv_rand_jump_test,23026,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,106,106,8000a408,8000a404,c.addi,sltu,c.addi|sltu,149,18691,8000,70,6,86778,31f80aca2d035ee1,a2f0bb49df93bc45,356ec910c32b8ec8
26,bug_128,riscv_rand_jump_test,23027,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,63,63,8000016c,80000176,sub,jalr,sub|jalr,77,495,8000,70,6,913,c4ca08f524121465,d7f0fd699a42ef86,2d1d138e42de7cad
27,bug_128,riscv_rand_jump_test,23028,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,440,440,80003d8e,80003dc6,c.andi,c.mv,c.andi|c.mv,436,8342,8000,70,6,12999,5e45637a5e14cc28,62c2bb2ced4412ab,6cbd2f79f4b8b8cb
28,bug_128,riscv_rand_jump_test,23029,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,69,69,8000d768,8000d75c,addi,c.li,addi|c.li,109,37594,8000,70,6,59525,8f639b9442dfe114,216df2e8bd15b836,aee73ea8cf935a49
29,bug_128,riscv_rand_jump_test,23030,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,112,112,8000025c,8000026e,sll,mul,sll|mul,106,285,8000,70,6,833,e5caa195c71ea335,eb66a0344071f698,610148e5bcf7634d
30,bug_128,riscv_rand_jump_test,23031,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,229,229,800082c4,8000834c,c.li,sub,c.li|sub,217,5110,8000,70,6,74783,08eb613b776d7026,06741adf14b2b76b,5f388511f71a04f4
31,bug_128,riscv_rand_jump_test,23032,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,188,188,800003b2,800003d0,csrrc,sltu,csrrc|sltu,123,2729,8000,70,6,14346,cfa84106063cf11f,8af4a35cace22e46,8b75db091f942f70
32,bug_128,riscv_rand_jump_test,23033,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,831,831,8000b488,8000b49e,c.addi4spn,sll,c.addi4spn|sll,829,22969,8000,70,6,60195,20ac58cc95e1a483,d889b51bdc26c0f3,1b7709b6c00650ca
33,bug_128,riscv_rand_jump_test,23034,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,62,62,80000174,80000180,ori,jalr,ori|jalr,68,7148,8000,70,6,13532,6a9b1e7eb89595a1,dc7bfa5d58f492db,d04fa30af3119d69
34,bug_128,riscv_rand_jump_test,23036,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,1048,1048,800013ac,800013d4,mul,divu,mul|divu,1013,7096,8000,70,6,15053,316ef721d3a94ec0,626c41995e33a721,fb03768aedef51a8
35,bug_128,riscv_rand_jump_test,23037,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,211,211,8000040c,80000418,lui,csrrwi,lui|csrrwi,149,371,8000,70,6,1049,38ee9f3794d775a4,7a436c185bda7bd0,34fc0a0dfaea4e27
36,bug_128,riscv_rand_jump_test,23038,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,127,127,800083ac,800083ae,c.addi16sp,addi,c.addi16sp|addi,1029,321703,8000,70,6,604981,93ab35b8dcec8416,aaa9fb234def843a,fdcceb6dbf866209
37,bug_128,riscv_rand_jump_test,23039,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,120,120,80000e7a,80000ea0,sra,c.andi,sra|c.andi,112,3189,8000,70,6,7325,f5f79a59de88286f,0b32871b788c9332,07657da2d65bf821
38,bug_128,riscv_rand_jump_test,23040,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,80,80,800049e6,800049fc,sra,slli,sra|slli,82,7571,8000,70,6,12506,dd3da7c0db7317d9,51e90c7b22d51ae8,b6c96c6bd4ee2ef8
39,bug_128,riscv_rand_jump_test,23041,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,504,504,80000944,8000094c,csrrci,c.add,csrrci|c.add,506,21008,8000,70,6,33974,32a43bcd12a38e74,f1d917b655818572,5eaf280804eca10f
40,bug_128,riscv_rand_jump_test,23042,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,197,197,80010f0c,80010f00,auipc,remu,auipc|remu,186,169,8001,70,6,746,8402d8dfd86e4507,5aa826a29cbda29c,f28fd90a34dac214
41,bug_128,riscv_rand_jump_test,23043,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,116,116,8000e9a6,8000e9b0,c.xor,jalr,c.xor|jalr,101,2323,8000,70,6,29124,b1d2f738d922190b,981c79497a26f5f6,b684edab01431679
42,bug_128,riscv_rand_jump_test,23044,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,280,280,8000058a,8000054e,slt,sub,slt|sub,198,639,8000,70,6,1666,4b74a72dcb9382ad,d287cf52852123ea,31a71058a14617c7
43,bug_128,riscv_rand_jump_test,23045,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,88,88,8000c488,8000c498,sra,sub,sra|sub,80,223,8000,70,6,623,8f3809091af0d768,6c8f4104d090c421,32da523d4f7218eb
44,bug_128,riscv_rand_jump_test,23046,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,634,634,80002e6a,80002e84,add,c.addi,add|c.addi,637,63583,8000,70,6,37273,16dd1bbdef603f10,6bc3bf6072b9a772,26f59fc2080a1ac4
45,bug_128,riscv_rand_jump_test,23047,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,66,66,8000017e,80000182,mul,jalr,mul|jalr,89,15771,8000,70,6,28977,b6f979c4b0f1c7e4,3f194ecbf0fd0d66,01e6ee34925b019c
46,bug_128,riscv_rand_jump_test,23048,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,275,275,80000560,8000058a,c.addi4spn,andi,c.addi4spn|andi,536,199895,8000,70,6,619578,ae2e68c86536a347,9e9aa8d03f3a06fd,7d48c2e811b055dd
47,bug_128,riscv_rand_jump_test,23049,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,94,94,80009ab6,80009ad4,srl,c.srli,srl|c.srli,113,23396,8000,70,6,37865,e373b77b3c368d8a,9f1bd0d7278c405f,a0b232cde23e4d2c
48,bug_129,riscv_jump_stress_test,23051,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,318,318,800009c8,800009a2,addi,c.addi16sp,addi|c.addi16sp,286,117,8000,70,6,762,df78598af65de7d0,28077f33b939a328,b7ea238fd17165f1
49,bug_129,riscv_jump_stress_test,23052,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,101,101,8000023e,80000218,c.srli,c.srai,c.srli|c.srai,95,61,8000,70,6,5626,6641bd4d01c4d294,1e3c1eb07ed00000,ac5315c8cd793370
50,bug_129,riscv_jump_stress_test,23054,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,643,643,80000b0e,80000b40,csrrs,c.srli,csrrs|c.srli,616,1356,8000,70,6,3133,8cb448362f3e8e86,ae9bc1127890265b,3b88fde6b4e6d44d
51,bug_129,riscv_jump_stress_test,23055,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,158,158,800003c0,800003ee,mulhsu,mulhsu,mulhsu|mulhsu,149,3459,8000,70,6,2977,7143bfedf605f137,1dbc82e0196504f2,f15dd33260d38b6d
52,bug_129,riscv_jump_stress_test,23056,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,258,258,80000490,800004ba,auipc,div,auipc|div,256,3854,8000,70,6,6887,22ba1ad4ec185c0d,2fa5ab5887b87f9d,8861e3c24e33e0f9
53,bug_129,riscv_jump_stress_test,23057,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,1287,1287,8000300e,80003026,remu,sra,remu|sra,1266,5246,8000,70,6,8286,57a49a3995b543db,789957af2f7b00f8,2ee4f199f6c06c0b
54,bug_129,riscv_jump_stress_test,23058,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,1538,1538,80002b8c,80002b9a,csrrci,c.addi16sp,csrrci|c.addi16sp,1496,2461,8000,70,6,5748,0f3463e914f68df5,906625d017da0298,f126b2c7372ff4e4
55,bug_129,riscv_jump_stress_test,23060,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,616,616,800009c8,80000a0a,ori,andi,ori|andi,610,2127,8000,70,6,4038,2d0030e9ccfc5641,e16fb202199d6c33,1e9644bfb82d8a09
56,bug_129,riscv_jump_stress_test,23061,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,74,74,80005bbe,80005bc2,csrrc,c.addi,csrrc|c.addi,76,8434,8000,70,6,12202,d7af0a96b1c57296,17143afbcdf4d94e,b09e412a137683f2
57,bug_129,riscv_jump_stress_test,23062,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,323,323,80000572,80000552,remu,c.li,remu|c.li,333,664,8000,70,6,1695,863a44d795f81a01,9e3887ebbae8b4b8,03394f1af06d0448
58,bug_129,riscv_jump_stress_test,23063,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,751,751,80000d76,80000d8a,divu,lui,divu|lui,743,4179,8000,70,6,7445,00713a0359d33147,b0f4c8167df95db1,8ddfcfc40eaa0413
59,bug_129,riscv_jump_stress_test,23064,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,578,578,80003594,800035c2,sltu,xor,sltu|xor,568,8185,8000,70,6,4795,d60c8ffe5bb3d78c,11377e49a0014eb7,ec86b9ee22733b23
60,bug_129,riscv_jump_stress_test,23065,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,482,482,80000b38,80000b30,div,xor,div|xor,459,2897,8000,70,6,5932,f659b61ac011d358,43e97a618e6fe7ee,dcd364fc8eafe40b
61,bug_129,riscv_jump_stress_test,23066,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,162,162,80000406,80000358,xori,srai,xori|srai,151,34,8000,70,6,466,fbe5e13d18dea25d,271a03dff6afce7b,1ee84e0b2d66c3f0
62,bug_129,riscv_jump_stress_test,23067,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,114,114,80000248,80000258,mulhsu,slti,mulhsu|slti,114,1365,8000,70,6,2303,a991f2773159d71a,6bba32592804ed96,73ccc1fde979d37e
63,bug_129,riscv_jump_stress_test,23068,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,144,144,800002e2,800002de,jalr,c.add,jalr|c.add,159,2708,8000,70,6,4487,c7229ab497f3cb16,1fa3c0ba5b861977,e12b97f14653ed08
64,bug_129,riscv_jump_stress_test,23069,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,310,310,800007c6,800007f0,c.lui,srai,c.lui|srai,291,2985,8000,70,6,5602,f034ccc8e9911d9d,afa19aeb5f4c0823,857b445cb6c14c16
65,bug_129,riscv_jump_stress_test,23070,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,742,742,80000b22,80000b48,c.srli,slt,c.srli|slt,721,1608,8000,70,6,3566,596786d1d9cf3a84,e224b222b932177d,db0dab7b9eedee3e
66,bug_129,riscv_jump_stress_test,23071,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,549,549,80003f7c,80003f90,srli,c.slli,srli|c.slli,541,2973,8000,70,6,4313,4ebe3e8b651b5376,5aac76697f4f6c93,e399323ea7d3a9dd
67,bug_129,riscv_jump_stress_test,23072,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,194,194,800026a8,800026d2,add,sltu,add|sltu,197,2201,8000,70,6,3565,e5ad1b24005b0f37,45ccdbfd54ac8a66,a6ba8fe8f96e0ba4
68,bug_129,riscv_jump_stress_test,23073,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,1121,1121,800027bc,80002790,slt,addi,slt|addi,1127,3553,8000,70,6,6928,4d62ebe87e857d7d,c8f8cf942a6de358,1fd67921037c4132
69,bug_129,riscv_jump_stress_test,23074,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,727,727,80000d42,80000d16,c.srai,or,c.srai|or,717,3003,8000,70,6,5706,082a4d0e463499cb,afae345fcc20b12c,381f8b7d2fe4be48
70,bug_129,riscv_jump_stress_test,23075,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,437,437,8000078c,80000752,remu,c.mv,remu|c.mv,434,4299,8000,70,6,6806,4d0147f54d4a36fb,93feffc62a86e2f0,264832e48f8d9652
71,bug_129,riscv_machine_mode_rand_test,23076,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,112,112,8000023a,80000204,mulhu,c.srli,mulhu|c.srli,112,3921,8000,70,6,6348,164bdf16ad2b6402,ec6c9ede832d4b12,b184917c5edb4a69
72,bug_129,riscv_machine_mode_rand_test,23077,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,119,119,80000264,8000027e,lui,sll,lui|sll,323,2897,8000,70,6,4815,3c8bb2f01f5d5c84,e648913c815c77b1,78a2b9fd6c99549d
73,bug_129,riscv_machine_mode_rand_test,23078,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,317,317,8000729c,8000728e,c.lui,lui,c.lui|lui,282,1016,8000,70,6,2105,0958bd19314cc2c4,d361ee5a5c126480,ad8f97fedf7ea5e9
74,bug_129,riscv_machine_mode_rand_test,23079,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,142,142,8000045c,8000046a,andi,csrrs,andi|csrrs,130,561,8000,70,6,1263,5b2763acc12cce17,a3d5003a00c3d2e7,e692a5deaa375ef0
75,bug_129,riscv_machine_mode_rand_test,23080,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,65,65,80000170,8000016c,jalr,mulhu,jalr|mulhu,72,5761,8000,70,6,10154,e70ae54889d52013,e2a7d3d8e6fc0e8e,aa9c47a7924b7d4d
76,bug_129,riscv_machine_mode_rand_test,23081,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,63,63,80000178,800001a8,csrrci,div,csrrci|div,60,2567,8000,70,6,4001,3d0d70af181a4412,4b3d8f1455400dfc,bfc2fabeea5f6d42
77,bug_129,riscv_machine_mode_rand_test,23082,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,58,58,80000162,8000015e,slti,srl,slti|srl,60,1934,8000,70,6,9905,4777ff6446037f27,73cdce8496591c34,d415ebf56870f791
78,bug_129,riscv_machine_mode_rand_test,23083,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,112,112,800002e2,8000030c,and,slti,and|slti,137,6781,8000,70,6,10570,b4cb75e17817b811,165a666f8a039528,7289e896a81d0a3b
79,bug_129,riscv_machine_mode_rand_test,23084,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,152,152,80000442,8000042a,c.addi4spn,or,c.addi4spn|or,252,7213,8000,70,6,11354,bdca1743122ece66,9c13967fc7f6c8b6,914fc8d805d75815
80,bug_129,riscv_machine_mode_rand_test,23086,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,184,184,80007eee,80007f2a,lui,sll,lui|sll,154,811,8000,70,6,1586,9e0a3432996d44b8,fef3f2b394cc2708,0e076ae7826b2731
81,bug_129,riscv_machine_mode_rand_test,23087,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,154,154,800003f8,800003f6,slt,c.sub,slt|c.sub,139,2189,8000,70,6,3515,95b6fbe0b841a522,5930a80628d4153c,ec5bd7e1d9544663
82,bug_129,riscv_machine_mode_rand_test,23088,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,146,146,80004e40,80004e5e,csrrci,csrrwi,csrrci|csrrwi,156,4194,8000,70,6,6192,f7ebebc5f1bcb8f0,5a180f70f2e51e9c,e55bfc4c87a6e295
83,bug_129,riscv_machine_mode_rand_test,23089,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,180,180,80000552,80000536,csrrci,xori,csrrci|xori,187,2583,8000,70,6,4324,07a0a11cf273c2cc,415d60ccbaf05375,adeb1f83a4b5ab13
84,bug_129,riscv_machine_mode_rand_test,23090,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,166,166,800004e8,80000512,sltu,sltu,sltu|sltu,151,333,8000,70,6,866,1b6f88b9499e16c1,5febfe8765c89ffa,f82a5133b5642351
85,bug_129,riscv_machine_mode_rand_test,23091,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,84,84,8000022e,80000232,mul,slt,mul|slt,77,1987,8000,70,6,6050,17f2f6c87bd90c53,a2eaa9b754238e02,c8fa751486e0f881
86,bug_129,riscv_machine_mode_rand_test,23092,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,228,228,800006b2,80000684,mul,c.sub,mul|c.sub,200,4769,8000,70,6,1675,6bd3951ec81bdcc0,13938a2220bb3eb7,893de76dc4b9f9e5
87,bug_129,riscv_machine_mode_rand_test,23093,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,103,103,800067b2,80006794,and,addi,and|addi,107,9066,8000,70,6,36465,eff98c2efa7d47d5,5dc11d93da60e01a,377a0775f8069b20
88,bug_129,riscv_machine_mode_rand_test,23094,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,132,132,8000196e,8000196a,c.addi,addi,c.addi|addi,156,3569,8000,70,6,6375,c094dedf31f9f92f,426e91fcbcbf5813,57ac876b66f300f6
89,bug_129,riscv_machine_mode_rand_test,23096,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,143,143,800021fa,800021ca,lui,mulhu,lui|mulhu,160,4835,8000,70,6,7448,646f69bea707a4b5,fa710dc677980c3b,04626b91a72b6058
90,bug_129,riscv_machine_mode_rand_test,23097,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,65,65,80000202,800001d8,c.lui,csrrsi,c.lui|csrrsi,65,883,8000,70,6,1655,048e24b2ce4269ef,e5cc08265dd34b19,81dc2d711994341b
91,bug_129,riscv_machine_mode_rand_test,23098,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,142,142,80001730,8000170e,sltu,srl,sltu|srl,181,4243,8000,70,6,6641,5997979aa0345b98,f3c0c4e00d24e318,03dec8f941f1950b
92,bug_129,riscv_machine_mode_rand_test,23099,/workspace/ibex/dv/uvm/out,REGR_MISMATCH,,,,,,pc_diff,1,0,127,127,80000370,8000033c,c.srai,and,c.srai|and,120,2646,8000,70,6,4333,9848c7f855771224,260700e66062056e,3688f961a23bf89f
