case_id,bug_id
case_000397,bug_023
case_000398,bug_023
case_000399,bug_023
case_000400,bug_023
case_000401,bug_024
case_000402,bug_024
case_000403,bug_024
case_000404,bug_024
case_000405,bug_024
case_000406,bug_024
case_000407,bug_024
case_000408,bug_024
case_000409,bug_024
case_000410,bug_024
case_000411,bug_024
case_000412,bug_024
case_000413,bug_024
case_000414,bug_024
case_000415,bug_024
case_000416,bug_024
case_000417,bug_024
case_000418,bug_024
case_000419,bug_024
case_000420,bug_024
case_000421,bug_025
case_000422,bug_025
case_000423,bug_025
case_000424,bug_025
case_000425,bug_025
case_000426,bug_025
case_000427,bug_025
case_000428,bug_025
case_000429,bug_025
case_000430,bug_025
case_000431,bug_025
case_000432,bug_025
case_000433,bug_025
case_000434,bug_025
case_000435,bug_025
case_000436,bug_025
case_000437,bug_025
case_000438,bug_025
case_000439,bug_025
case_000440,bug_025
case_000441,bug_026
case_000442,bug_026
case_000443,bug_026
case_000444,bug_026
case_000445,bug_026
case_000446,bug_026
case_000447,bug_026
case_000448,bug_026
case_000449,bug_026
case_000450,bug_026
case_000451,bug_026
case_000452,bug_026
case_000453,bug_026
case_000454,bug_026
case_000455,bug_026
case_000456,bug_026
case_000457,bug_026
case_000458,bug_026
case_000459,bug_026
case_000460,bug_026
case_000461,bug_027
case_000462,bug_027
case_000463,bug_027
case_000464,bug_027
case_000465,bug_027
case_000466,bug_027
case_000467,bug_027
case_000468,bug_027
case_000469,bug_027
case_000470,bug_027
case_000471,bug_027
case_000472,bug_027
case_000473,bug_027
case_000474,bug_027
case_000475,bug_027
case_000476,bug_027
case_000477,bug_027
case_000478,bug_027
case_000479,bug_027
case_000480,bug_027
case_000481,bug_028
case_000482,bug_028
case_000483,bug_028
case_000484,bug_028
case_000485,bug_028
case_000486,bug_028
case_000487,bug_028
case_000488,bug_028
case_000489,bug_028
case_000490,bug_028
case_000491,bug_028
case_000492,bug_028
case_000493,bug_028
case_000494,bug_028
case_000495,bug_028
case_000496,bug_028
case_000497,bug_028
case_000498,bug_028
case_000499,bug_028
case_000500,bug_028
case_000501,bug_029
case_000502,bug_029
case_000503,bug_029
case_000504,bug_029
case_000505,bug_029
case_000506,bug_029
case_000507,bug_029
case_000508,bug_029
case_000509,bug_029
case_000510,bug_029
case_000511,bug_029
case_000512,bug_029
case_000513,bug_029
case_000514,bug_029
case_000515,bug_029
case_000516,bug_029
case_000517,bug_029
case_000518,bug_029
case_000519,bug_029
case_000520,bug_029
case_000521,bug_030
case_000522,bug_030
case_000523,bug_030
case_000524,bug_030
case_000525,bug_030
case_000526,bug_030
case_000527,bug_030
case_000528,bug_030
case_000529,bug_030
case_000530,bug_030
case_000531,bug_030
case_000532,bug_030
case_000533,bug_030
case_000534,bug_030
case_000535,bug_030
case_000536,bug_030
case_000537,bug_030
case_000538,bug_030
case_000539,bug_030
case_000540,bug_030
case_000541,bug_031
case_000542,bug_031
case_000543,bug_031
case_000544,bug_031
case_000545,bug_031
case_000546,bug_031
case_000547,bug_031
case_000548,bug_031
case_000549,bug_031
case_000550,bug_031
case_000551,bug_031
case_000552,bug_031
case_000553,bug_031
case_000554,bug_031
case_000555,bug_031
case_000556,bug_031
case_000557,bug_031
case_000558,bug_031
case_000559,bug_031
case_000560,bug_031
case_000561,bug_032
case_000562,bug_032
case_000563,bug_032
case_000564,bug_032
case_000565,bug_032
case_000566,bug_032
case_000567,bug_032
case_000568,bug_032
case_000569,bug_032
case_000570,bug_032
case_000571,bug_032
case_000572,bug_032
case_000573,bug_032
case_000574,bug_032
case_000575,bug_032
case_000576,bug_032
case_000577,bug_032
case_000578,bug_032
case_000579,bug_032
case_000580,bug_032
case_000581,bug_033
case_000582,bug_033
case_000583,bug_033
case_000584,bug_033
case_000585,bug_033
case_000586,bug_033
case_000587,bug_033
case_000588,bug_033
case_000589,bug_033
case_000590,bug_033
case_000591,bug_033
case_000592,bug_033
case_000593,bug_033
case_000594,bug_033
case_000595,bug_033
case_000596,bug_033
case_000597,bug_033
case_000598,bug_033
case_000599,bug_033
case_000600,bug_033
case_000601,bug_034
case_000602,bug_034
case_000603,bug_034
case_000604,bug_034
case_000605,bug_034
case_000606,bug_034
case_000607,bug_034
case_000608,bug_034
case_000609,bug_034
case_000610,bug_034
case_000611,bug_034
case_000612,bug_034
case_000613,bug_034
case_000614,bug_034
case_000615,bug_034
case_000616,bug_034
case_000617,bug_034
case_000618,bug_034
case_000619,bug_034
case_000620,bug_034
case_000621,bug_035
case_000622,bug_035
case_000623,bug_035
case_000624,bug_035
case_000625,bug_035
case_000626,bug_035
case_000627,bug_035
case_000628,bug_035
case_000629,bug_035
case_000630,bug_035
case_000631,bug_035
case_000632,bug_035
case_000633,bug_035
case_000634,bug_035
case_000635,bug_035
case_000636,bug_035
case_000637,bug_035
case_000638,bug_035
case_000639,bug_035
case_000640,bug_035
